Name,orignal_price,snapdeal_price,discount
Impakto  Blue  Men's Sports Running Shoes,Rs. 959,Rs.  863,10% Off
ASIAN - THAR-08 Gray Men's Sports Running Shoes,"Rs. 1,249",Rs.  649,48% Off
FITMonkey - Gray Men's Slip-on Shoes,"Rs. 1,799",Rs.  899,50% Off
ASIAN  Blue  Men's Sports Running Shoes,Rs. 999,Rs.  575,42% Off
